term	canonical	relation_type	pattern	decision	reason	source	source_detail	notes
in the front of	in_front_of	spatial_depth	adp_det_mid_of	reject	ambiguous_surface_region_phrase	generated_region_pattern|mixed_relation_collapse_rules	complex_preposition_phrase|generated spatial region pattern	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase
leaning against	leaning_against	spatial_contact	adp_adp	reject	predicate_head_not_preposition_mwe	mixed_relation_collapse_rules	multiword_adposition_phrase	imported from multiword_relation_collapse_rules.tsv:multiword_adposition_phrase
on front of	in_front_of	spatial_depth	adp_mid_of	reject	ambiguous_surface_region_phrase	generated_region_pattern|mixed_relation_collapse_rules	complex_preposition_phrase|generated spatial region pattern	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase
on side of	side_of	spatial_lateral	adp_mid_of	reject	ambiguous_surface_region_phrase	generated_region_pattern|mixed_relation_collapse_rules	complex_preposition_phrase|generated spatial region pattern	generated spatial region pattern|imported from multiword_relation_collapse_rules.tsv:complex_preposition_phrase
on the front of	in_front_of	spatial_depth	adp_det_mid_of	reject	ambiguous_surface_region_phrase	generated_region_pattern	generated spatial region pattern	generated spatial region pattern
on the side of	side_of	spatial_lateral	adp_det_mid_of	reject	ambiguous_surface_region_phrase	generated_region_pattern	generated spatial region pattern	generated spatial region pattern
surrounded by	surrounded_by	spatial_proximity	adp_adp	reject	predicate_head_not_preposition_mwe	mixed_relation_collapse_rules	multiword_adposition_phrase	imported from multiword_relation_collapse_rules.tsv:multiword_adposition_phrase
